Fecha;Hora;Temperatura
06/18/23;7:00:00;2.195
06/18/23;8:00:00;3.155
06/18/23;9:00:00;4.311
06/18/23;10:00:00;6.573
06/18/23;11:00:00;8.581
06/18/23;12:00:00;10.357
06/18/23;1:00:00;10.944
06/18/23;2:00:00;10.748
06/18/23;3:00:00;16.332
06/18/23;4:00:00;12.69
06/18/23;5:00:00;9.275
06/18/23;6:00:00;4.623
06/18/23;7:00:00;3.367
06/18/23;8:00:00;3.155
06/18/23;9:00:00;3.261
06/18/23;10:00:00;2.837
06/18/23;11:00:00;2.837
06/19/23;12:00:00;2.943
06/19/23;1:00:00;2.943
06/19/23;2:00:00;2.73
06/19/23;3:00:00;2.624
06/19/23;4:00:00;2.303
06/19/23;5:00:00;0.674
06/19/23;6:00:00;-0.325
06/19/23;7:00:00;0.01
06/19/23;8:00:00;2.517
06/19/23;9:00:00;4.102
06/19/23;10:00:00;7.28
06/19/23;11:00:00;10.944
06/19/23;12:00:00;14.709
06/19/23;1:00:00;18.711
06/19/23;2:00:00;21.569
06/19/23;3:00:00;24.738
06/19/23;4:00:00;22.142
06/19/23;5:00:00;17.094
06/19/23;6:00:00;6.573
06/19/23;7:00:00;4.415
06/19/23;8:00:00;4.102
06/19/23;9:00:00;3.998
06/19/23;10:00:00;3.472
06/19/23;11:00:00;2.73
06/20/23;12:00:00;2.088
06/20/23;1:00:00;1.98
06/20/23;2:00:00;2.303
06/20/23;3:00:00;1.764
06/20/23;4:00:00;1.872
06/20/23;5:00:00;2.088
06/20/23;6:00:00;2.195
06/20/23;7:00:00;2.73
06/20/23;8:00:00;4.519
06/20/23;9:00:00;6.37
06/20/23;10:00:00;8.779
06/20/23;11:00:00;9.768
06/20/23;12:00:00;12.883
06/20/23;1:00:00;16.713
06/20/23;2:00:00;15.282
06/20/23;3:00:00;19.282
06/20/23;4:00:00;17.57
06/20/23;5:00:00;9.571
06/20/23;6:00:00;6.471
06/20/23;7:00:00;5.037
06/20/23;8:00:00;5.037
06/20/23;9:00:00;5.141
06/20/23;10:00:00;5.037
06/20/23;11:00:00;4.727
06/21/23;12:00:00;4.311
06/21/23;1:00:00;3.578
06/21/23;2:00:00;3.788
06/21/23;3:00:00;3.788
06/21/23;4:00:00;3.683
06/21/23;5:00:00;3.683
06/21/23;6:00:00;3.578
06/21/23;7:00:00;3.893
06/21/23;8:00:00;4.727
06/21/23;9:00:00;5.962
06/21/23;10:00:00;7.179
06/21/23;11:00:00;9.077
06/21/23;12:00:00;11.528
06/21/23;1:00:00;8.779
06/21/23;2:00:00;13.75
06/21/23;3:00:00;9.373
06/21/23;4:00:00;7.381
06/21/23;5:00:00;6.37
06/21/23;6:00:00;5.037
06/21/23;7:00:00;4.102
06/21/23;8:00:00;3.788
06/21/23;9:00:00;3.998
06/21/23;10:00:00;4.102
06/21/23;11:00:00;3.998
06/22/23;12:00:00;3.998
06/22/23;1:00:00;3.893
06/22/23;2:00:00;4.207
06/22/23;3:00:00;4.102
06/22/23;4:00:00;3.788
06/22/23;5:00:00;3.578
06/22/23;6:00:00;3.472
06/22/23;7:00:00;3.367
06/22/23;8:00:00;3.998
06/22/23;9:00:00;4.727
06/22/23;10:00:00;7.079
06/22/23;11:00:00;6.877
06/22/23;12:00:00;7.983
06/22/23;1:00:00;8.978
06/22/23;2:00:00;8.581
06/22/23;3:00:00;9.176
06/22/23;4:00:00;12.594
06/22/23;5:00:00;7.782
06/22/23;6:00:00;6.064
06/22/23;7:00:00;4.934
06/22/23;8:00:00;4.623
06/22/23;9:00:00;4.623
06/22/23;10:00:00;4.519
06/22/23;11:00:00;4.519
06/23/23;12:00:00;4.519
06/23/23;1:00:00;4.415
06/23/23;2:00:00;4.207
06/23/23;3:00:00;4.311
06/23/23;4:00:00;4.415
06/23/23;5:00:00;4.311
06/23/23;6:00:00;4.102
06/23/23;7:00:00;3.578
06/23/23;8:00:00;4.623
06/23/23;9:00:00;5.45
06/23/23;10:00:00;7.179
06/23/23;11:00:00;8.382
